DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
59:09.5,-7.161,117.488,521,6.1,Mw,371,,,0.93,NEI,2001021640
11:30.0,53.92,-133.61,20,6.2,Mw,380,,,0,PGC,2001021740
04:53.4,-47.456,32.386,10,6,Mw,178,,,1.12,NEI,2001021840
23:48.7,1.271,126.249,35,7.1,Mw,426,,,1.05,NEI,2001022440
33:44.7,1.555,126.431,33,6.2,Mw,208,,,1.16,NEI,2001022440
21:59.6,36.424,70.881,202.5,6.2,Mw,466,,,0.95,NEI,2001022540
58:22.4,46.815,144.525,392,6.1,Mw,453,,,0.82,NEI,2001022640
30:14.0,-21.986,170.207,10,6.7,Mw,243,,,1.11,NEI,2001022840
05:31.6,-22.002,170.108,10,6.3,Mw,110,,,1.12,NEI,2001022840
50:13.0,13.283,-88.827,65.3,6.1,Mw,179,,,0.99,NEI,2001022840
54:32.8,47.149,-122.7267,51.9,6.8,Mc,66,31,8,0.2,UW,1970010640
17:36.1,-54.588,157.271,10,6.4,Mw,134,,,0.99,NEI,2001030640
10:58.6,-6.81,-12.911,10,6,Mw,162,,,0.98,NEI,2001030740
56:18.9,0.451,121.892,109.4,6,Mw,313,,,0.83,NEI,2001031440
22:43.4,8.656,94.013,33,6,Mw,324,,,1.04,NEI,2001031540
02:42.1,-32.321,-71.492,37,6,Mw,297,,,0.9,NEI,2001031540
52:15.9,-4.029,128.02,33,6.5,Mw,206,,,1.07,NEI,2001031940
30:10.5,44.071,148.054,33,6,Mw,480,,,0.81,NEI,2001032340
27:53.6,34.083,132.526,50,6.8,Mw,596,,,0.85,NEI,2001032440
44:11.2,-5.176,132.369,33,6.4,Mw,176,,,0.99,NEI,2001040440
17:37.9,-27.554,-176.336,33,6.2,Mw,184,,,1.06,NEI,2001040740
00:57.2,-32.668,-73.109,11,6.7,Mw,314,,,1.14,NEI,2001040940
33:53.5,-59.723,-25.586,26,6.2,Mw,132,,,1.13,NEI,2001041340
27:26.7,30.092,141.768,10,6,Mw,358,,,1.17,NEI,2001041440
13:25.6,-7.455,155.893,12,6,Mw,255,,,0.88,NEI,2001041940
58:26.1,-7.306,155.965,20,6.2,Mw,281,,,0.92,NEI,2001041940
43:42.3,-7.41,155.865,17,6.7,Mw,282,,,1.03,NEI,2001041940
48:57.5,43.097,145.923,86,6,Mw,490,,,0.81,NEI,2001042640
49:53.4,-18.064,-176.937,351.8,6.9,Mw,525,,,1.08,NEI,2001042840
26:54.5,18.736,-104.545,10,6.2,Mw,259,,,1.25,NEI,2001042940
33:23.8,-56.186,-144.471,10,6.2,Mw,101,,,1.27,NEI,2001050740
38:26.1,-10.318,161.232,67.9,6.3,Mw,314,,,1.01,NEI,2001050940
36:25.6,-19.903,-177.515,368.7,6,Mw,364,,,1.05,NEI,2001051940
21:43.8,18.816,-104.446,33,6.3,Mw,193,,,1.26,NEI,2001052040
40:50.6,44.268,148.393,33,6.7,Mw,400,,,0.85,NEI,2001052540
06:10.7,-7.869,110.179,143.1,6.3,Mw,283,,,1.2,NEI,2001052540
57:26.1,-20.292,-177.842,406.5,6.4,Mw,346,,,1.07,NEI,2001052640
37:05.1,-6.609,132.346,33,6,Mw,254,,,0.96,NEI,2001052840
37:19.5,-7.022,155.037,14,6.4,Mw,258,,,1,NEI,2001052940
41:57.2,-29.666,-178.633,178.1,7.2,Mw,421,,,1.01,NEI,2001060340
00:05.4,-6.884,146.388,10,6.4,Mw,245,,,0.97,NEI,2001060540
13:58.1,-6.815,146.41,10,6,Mw,214,,,0.9,NEI,2001060540
48:47.8,51.16,-179.828,18,6.5,Mw,475,,,1.04,NEI,2001061440
17:45.3,18.833,146.983,33,6,Mw,190,,,0.92,NEI,2001061540
19:07.6,13.903,51.679,10,6,Mw,265,,,1.38,NEI,2001061540
13:38.2,-14.889,-173.339,10,6,Mw,223,,,0.94,NEI,2001061640
32:24.7,-22.739,-67.877,146.6,6,Mw,243,,,0.94,NEI,2001061940
33:14.1,-16.265,-73.641,33,8.4,Mw,518,,,1.05,NEI,2001062340
27:35.7,-17.181,-72.641,33,6.1,Mb,229,,,0.92,NEI,2001062340
18:51.7,44.189,148.51,33,6,Mw,460,,,0.79,NEI,2001062441
18:31.4,-17.745,-71.649,24,6.7,Mw,422,,,1.06,NEI,2001062640
33:52.0,-4.07,-104.469,10,6.1,Mw,124,,,1.08,NEI,2001062640
35:52.0,-19.522,-66.254,273.9,6.1,Mw,386,,,0.8,NEI,2001062940
46:06.1,-4.312,152.956,28,6.1,Mw,307,,,0.82,NEI,2001070140
10:42.6,21.641,142.984,290,6.5,Mw,474,,,0.87,NEI,2001070340
06:31.6,-21.725,-176.705,184.6,6.5,Mw,429,,,0.77,NEI,2001070440
09:03.8,-17.003,-65.711,33,6.2,Mw,230,,,1,NEI,2001070440
53:48.4,-16.086,-73.987,62,6.6,Mw,324,,,1.38,NEI,2001070540
38:43.5,-17.543,-72.077,33,7.6,Mw,398,,,1.15,NEI,2001070740
54:18.8,-6.663,152.108,10,6.2,Mw,344,,,0.87,NEI,2001070840
15:09.0,-5.147,132.338,33,6,Mw,199,,,0.9,NEI,2001072240
00:09.1,-19.448,-69.255,33,6.4,Mw,300,,,1.26,NEI,2001072440
21:36.9,39.059,24.244,10,6.5,Mw,483,,,1.04,NEI,2001072640
32:45.6,58.775,-154.7006,131.85,6.34,ML,150,,,1.04,AK,1970010640
41:06.2,56.26,163.79,14,6.3,Mw,455,,,0.9,NEI,2001080240
52:59.5,-55.537,-123.422,10,6.7,Mw,294,,,1.08,NEI,2001080640
11:23.4,41.046,142.308,38,6.4,Mw,528,,,0.87,NEI,2001081340
52:06.2,-36.813,-179.575,33,7.1,Mw,478,,,1.18,NEI,2001082140
45:03.2,-3.373,146.311,10,6.2,Mw,228,,,1.24,NEI,2001082340
02:02.5,7.633,-82.766,24.5,6.1,Mw,422,,,1.01,NEI,2001082540
16:47.4,1.091,126.36,33,6.1,Mw,265,,,1.03,NEI,2001082740
25:54.1,0.889,82.501,10,6.1,Mw,281,,,0.96,NEI,2001090240
06:51.5,-54.356,-137.016,10,6.3,Mw,147,,,1.25,NEI,2001090240
56:50.9,-0.578,133.13,33,6.5,Mw,174,,,0.89,NEI,2001091140
48:37.3,-20.993,-179.109,608.1,6.5,Mw,373,,,0.92,NEI,2001091240
45:08.0,48.69,-128.71,10,6,Mw,391,,,0,PGC,2001091440
04:34.1,-22.393,-175.01,10,6,Mw,179,,,1.08,NEI,2001091540
19:30.8,-7.506,127.739,131.8,6,Mw,207,,,0.94,NEI,2001091840
40:07.4,-18.503,168.159,33,6.4,Mw,327,,,1.42,NEI,2001092940
01:18.7,-18.419,168.121,33,6.2,Mw,260,,,1.11,NEI,2001093040
48:18.8,-16.183,-173.82,106.9,6.2,Mw,431,,,0.84,NEI,2001100240
